Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1140536,,Wikipedia
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",106535,,Wikipedia
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922,,Wikipedia
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903,,Wikipedia
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",34088,,Wikipedia
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",1524472,,Wikipedia
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,1512673,,Wikipedia
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061,,Wikipedia
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869,,Wikipedia
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",877212,,Wikipedia
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1555280,,Wikipedia
